0,1,2,3,4,5,6
0.57,0.69,0.9,1.18,1.48,1.71,2021-04-07_15:14:34
0.52,0.67,0.87,1.13,1.43,1.69,2021-04-07_15:14:34
0.52,0.65,0.84,1.1,1.41,1.68,2021-04-07_15:14:35
0.51,0.62,0.81,1.07,1.37,1.63,2021-04-07_15:14:35
0.46,0.59,0.76,1.0,1.3,1.57,2021-04-07_15:14:35
0.41,0.55,0.73,0.98,1.29,1.55,2021-04-07_15:14:35
0.39,0.53,0.72,0.98,1.28,1.55,2021-04-07_15:14:35
0.39,0.52,0.72,0.97,1.28,1.54,2021-04-07_15:14:35
0.38,0.52,0.71,0.97,1.27,1.54,2021-04-07_15:14:35
0.38,0.51,0.7,0.96,1.26,1.53,2021-04-07_15:14:35
0.37,0.5,0.69,0.95,1.25,1.52,2021-04-07_15:14:35
0.36,0.5,0.69,0.94,1.25,1.52,2021-04-07_15:14:35
0.36,0.49,0.68,0.94,1.25,1.51,2021-04-07_15:14:35
0.35,0.49,0.68,0.94,1.24,1.51,2021-04-07_15:14:35
0.35,0.48,0.68,0.94,1.24,1.51,2021-04-07_15:14:35
0.35,0.48,0.68,0.93,1.24,1.51,2021-04-07_15:14:36
0.35,0.48,0.68,0.94,1.24,1.51,2021-04-07_15:14:36
0.35,0.48,0.67,0.93,1.24,1.51,2021-04-07_15:14:36
0.35,0.48,0.67,0.93,1.24,1.51,2021-04-07_15:14:36
0.35,0.48,0.67,0.93,1.24,1.51,2021-04-07_15:14:36
0.35,0.48,0.67,0.93,1.24,1.5,2021-04-07_15:14:36
0.34,0.48,0.67,0.93,1.23,1.5,2021-04-07_15:14:36
0.34,0.47,0.67,0.92,1.23,1.5,2021-04-07_15:14:36
0.34,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:36
0.34,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:36
0.34,0.47,0.66,0.92,1.23,1.5,2021-04-07_15:14:36
0.33,0.47,0.66,0.92,1.23,1.49,2021-04-07_15:14:36
0.33,0.47,0.66,0.92,1.22,1.49,2021-04-07_15:14:36
0.33,0.47,0.66,0.92,1.22,1.49,2021-04-07_15:14:36
0.33,0.47,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:37
0.33,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:38
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:39
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.91,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:40
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:41
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:42
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:43
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.22,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
0.32,0.46,0.66,0.92,1.23,1.49,2021-04-07_15:14:44
